Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
35440993,"Der Totengräbersohn (Der Totengräbersohn, #2)",Sam Feuerbach,"Feuerbach, Sam",,"=""""","=""""",0,Independently Published,Kindle Edition,403,2017,,,2019/11/11,,,read,,,,1,0
34630305,"Der Totengräbersohn 1 (Der Totengräbersohn, #1)",Sam Feuerbach,"Feuerbach, Sam",,"=""""","=""""",0,Independently Published,Kindle Edition,392,2017,,,2019/11/11,,,read,,,,1,0
22837999,"Die Auftragsmörderin (Die Krosann-Saga - Lehrjahre, #1)",Sam Feuerbach,"Feuerbach, Sam",,"=""1499355130""","=""9781499355130""",0,CreateSpace Independent Publishing Platform,Paperback,388,2014,2014,,2019/11/11,,,read,,,,1,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",0,Tor Books,Hardcover,472,2014,2006,,2019/11/11,,,read,,,,1,0
23168817,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu",Joel Martinsen,"=""""","=""""",0,Tor Books,Hardcover,512,2015,2008,,2019/11/11,,,read,,,,1,0
25451264,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377101""","=""9780765377104""",0,TOR,Hardcover,604,2016,2010,,2019/11/11,,,read,,,,1,0
30841984,"Kings of the Wyld (The Band, #1)",Nicholas Eames,"Eames, Nicholas",,"=""0316362476""","=""9780316362474""",0,Orbit,Paperback,502,2017,2017,,2019/11/11,,,read,,,,1,0
36515190,"Die Vergangenheit ist noch nicht geschehen (Instabil, #1)",Sam Feuerbach,"Feuerbach, Sam",Thariot,"=""""","=""""",0,Amazon Digital Services,Kindle Edition,413,2017,2017,,2019/11/11,,,read,,,,1,0
35052265,"Bloody Rose (The Band, #2)",Nicholas Eames,"Eames, Nicholas",,"=""0356509044""","=""9780356509044""",0,Orbit,Paperback,512,2018,2018,,2019/11/11,,,read,,,,1,0
568094,Echoes of the Great Song,David Gemmell,"Gemmell, David",,"=""0345432320""","=""9780345432322""",5.0,Del Rey,Mass Market Paperback,437,2002,1997,2019/11/11,2014/02/27,,,read,,,,1,0
17250969,"Untitled (The Stormlight Archive, #6)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,Tor Books,Hardcover,,,2028,,2014/02/10,to-read,to-read (#6),to-read,,,,0,0
17250985,"Untitled (The Stormlight Archive, #10)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,Tor Books,Hardcover,,,,,2014/02/10,to-read,to-read (#9),to-read,,,,0,0
17250973,"Untitled (The Stormlight Archive, #9)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,Tor Books,Hardcover,,,,,2014/02/10,to-read,to-read (#8),to-read,,,,0,0
17250971,"Untitled (The Stormlight Archive, #7)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,Tor Books,Hardcover,,,,,2014/02/10,to-read,to-read (#7),to-read,,,,0,0
7022317,Shadow Prowler (Chronicles of Siala #1),Alexey Pehov,"Pehov, Alexey","Алексей Пехов, Andrew Bloomfield","=""1847375634""","=""9781847375636""",0,Simon & Schuster,Paperback,396,2010,2002,,2014/03/14,,,read,,,,1,0
